PoreSize,Day,Replicate,PoreID,CellCount,EdgeCount,PoreArea,S1_Density,S4_EdgeDensity,S2_Coverage,S3_Circularity
300,4,1,1,4,3,88742.5748395545,4.50741936126144e-05,0.00168656939020343,0.0200440286689795,0.263609438877645
300,4,1,2,6,6,89594.181720269,6.69686344000909e-05,0.00188553065366372,0.0355182617584826,0.321714495564611
300,4,1,3,6,5,96639.3578036714,6.20865052951755e-05,0.00115461930913461,0.0461435654643513,0.292411832377008
300,4,1,4,8,8,91662.7324981295,8.72764730220458e-05,0.00112268128008146,0.0787362847347227,0.177774108407564
300,4,1,5,7,4,95661.2334347763,7.31748875553934e-05,0.00112095619146852,0.0373022797665676,0.2725183256627
300,4,1,6,10,6,91444.7284474685,0.000109355674950083,0.00140876493396513,0.0689938129311073,0.252431430253621
300,4,1,7,14,14,93456.2143550582,0.000149802772310157,0.0029580608017147,0.0521317951581816,0.203457306734509
300,4,1,8,2,2,90578.6015018986,2.20802702496801e-05,0.0012914294334113,0.0176490766295466,0.161408804505891
300,4,1,9,6,5,89830.8689313034,6.67921848177645e-05,0.00126840977528136,0.0457084596481948,0.333455633913116
300,4,1,10,8,7,92958.3690544568,8.60600296818186e-05,0.00246123120365448,0.0314398221727042,0.21324845173274
300,4,1,11,3,2,94061.0816721461,3.18941686260491e-05,0.00179519519854075,0.0118453508644094,0.240007150995634
300,4,1,12,11,8,97016.6764120814,0.000113382568923276,0.00214551295881369,0.0463628628214802,0.205259368439805
300,4,2,1,6,4,83741.0027288317,7.16494883567261e-05,0.00106259942525256,0.0566824053797783,0.295238926921321
300,4,2,2,5,3,89283.709588581,5.60012573742733e-05,0.000636478056210496,0.0568050903838827,0.272226489145443
300,4,2,3,13,13,90388.7580205273,0.000143823195325327,0.00450253851240591,0.0340321370317281,0.308381103328272
300,4,2,4,10,8,93533.8255690989,0.000106913193586981,0.00240154530998801,0.0477147342161315,0.31258592723509
300,4,2,5,9,9,89393.9808921824,0.000100677919365229,0.00185605557759132,0.0548722101884277,0.488799886898443
300,4,2,6,8,8,95716.8115323822,8.35798839506213e-05,0.00224811667479246,0.0371798557487792,0.405156739504323
300,4,2,7,5,5,90167.3015627422,5.54524746037874e-05,0.00200497498434387,0.0276608179890474,0.337696389901071
300,4,2,8,9,6,92769.3387875015,9.701481241141e-05,0.0021991299865494,0.0366985430692631,0.319322325770382
300,4,2,9,6,4,81729.5160581659,7.34128903409862e-05,0.0023874999086296,0.0205004795579121,0.322917951907734
300,4,2,10,11,10,94608.6153928746,0.000116268480986864,0.00228592185388601,0.0465297983250818,0.358607586916575
300,4,2,11,4,2,87260.8505551129,4.58395715209497e-05,0.000923218853817397,0.0277129056544057,0.267634697480526
300,4,2,12,3,3,97058.9534209668,3.09090495442323e-05,0.00409384943456994,0.00755116494870156,0.195339506434231
300,4,3,1,1,1,94620.9222958882,1.05684871351487e-05,0.000399497988040306,0.0264544189245891,0.344932792227656
300,4,3,2,5,2,99487.8937064935,5.02573711606647e-05,0.0011056328264013,0.0181833212730366,0.177397907918322
300,4,3,3,4,3,82874.2717366109,4.82658841662309e-05,0.000697217132421863,0.0519210812307564,0.343777281481441
300,4,3,4,7,7,93211.5597994516,7.50979815707492e-05,0.00230449509637932,0.0325876074497787,0.233922406519599
300,4,3,5,12,12,85674.3135378887,0.000140065318348808,0.00195696461026719,0.0715727395446794,0.384410129653908
300,4,3,6,14,14,97047.5033434274,0.000144259249518841,0.00182881395395234,0.0788823612498889,0.2901606303869
300,4,3,7,11,10,83083.2391730422,0.000132397341623738,0.00145675976646248,0.0827203298791672,0.422923613666034
300,4,3,8,15,13,98422.4440901311,0.000152404262449159,0.00258854664810362,0.0517731242765443,0.230825689456399
300,4,3,9,9,6,94971.0290601327,9.47657416063321e-05,0.00142349127717997,0.0479955950669025,0.288981987264875
300,4,3,10,11,11,103247.987554155,0.000106539606829918,0.00191671387850081,0.0556681057797271,0.36668687639477
300,4,3,11,15,15,85371.0162917175,0.000175703659761343,0.00205775687446085,0.085387204586272,0.333304324781352
300,4,3,12,14,12,98459.5058560677,0.000142190435329483,0.00222899081127943,0.055051661852319,0.289922706202129
300,7,1,1,39,38,98966.1276043207,0.000394074224626905,0.00324301394107066,0.127963028707339,0.621509240528717
300,7,1,2,24,20,96080.6978603691,0.000249790025826815,0.00328877826638488,0.063344250929264,0.487642522671843
300,7,1,3,48,42,88517.1451928171,0.000542267827271672,0.00305977906034313,0.179895490968745,0.823339746217964
300,7,1,4,29,25,88731.9149942761,0.000326827162491317,0.00269137830061481,0.116647783843169,0.624953624694973
300,7,1,5,27,27,92572.8926492108,0.000291662053840231,0.00411580657646263,0.0714836529970876,0.565064659731441
300,7,1,6,70,57,97097.173374603,0.000720927268705738,0.0034366719065414,0.22162564095592,0.690765651735284
300,7,1,7,39,37,96891.4411676262,0.000402512332668563,0.00301289002837976,0.136524891449365,0.542232863738461
300,7,1,8,18,18,95011.5199693233,0.000189450710880236,0.00274022318876905,0.0696008122695452,0.675347225314908
300,7,2,1,37,18,99125.455798999,0.000373264361830795,0.00343442646402559,0.0545927795555956,0.248136609035543
300,7,2,2,35,26,90364.8526658927,0.000387318730318811,0.00468611371955004,0.066186864430586,0.455437900669277
300,7,2,3,30,20,97227.1795805722,0.000308555695325287,0.0040397098679452,0.0523397104851738,0.402832816359228
300,7,2,4,52,42,82464.4900314498,0.000630574444590254,0.00345073885321079,0.183099302586733,0.5305719582182
300,7,2,5,17,4,99154.3944843293,0.000171449788871301,0.00627787007940309,0.00642797382113713,0.159329394476508
300,7,2,6,28,11,91953.3326424141,0.000304502286055098,0.00533316081118986,0.0395442107611138,0.205058945392663
300,7,2,7,35,24,95173.1421575953,0.000367750808752791,0.00317421818204378,0.0908541945836143,0.428692810816309
300,7,2,8,33,26,85275.1979213814,0.000386982391180423,0.00327085170675932,0.0935135296043819,0.536280939597308
300,7,2,9,10,1,93278.3182735588,0.000107206049434477,0.0062450277026402,0.00171775107413874,0.140187194793294
300,7,2,10,7,2,92487.3275411949,7.56860446300832e-05,0.00745526774191037,0.00290167568202548,0.172331036678661
300,7,2,11,11,3,92733.8648323604,0.000118619018196699,0.00249917324151504,0.0164823312868656,0.203869806416668
300,7,2,12,21,14,89524.4123203502,0.000234572888620084,0.00360182135890518,0.0453977835319898,0.224691352911875
300,7,3,1,116,72,83902.7171137833,0.00138255355714748,0.00341280728084632,0.439373896373145,0.941611342842178
300,7,3,2,110,84,94390.3917406973,0.00116537285174305,0.00388320048803688,0.334742284566551,0.941445046948584
300,7,3,3,81,68,86417.2000641285,0.000937313404506181,0.00409865844595936,0.239657350340476,0.90551866282
300,7,3,4,53,49,87143.761953706,0.00060819040642468,0.00391563821871505,0.163742615099572,0.875512818242257
300,7,3,5,78,69,90502.8032877851,0.000861851756701634,0.00414409463140032,0.223403336216927,0.908234530777865
300,7,3,6,55,50,87958.2627107013,0.000625296570271033,0.00352983669757059,0.187549859095742,0.856299446983224
300,7,3,7,37,34,90730.7741392318,0.000407799893156662,0.00286421190180297,0.14384987476133,0.795590865596455
300,7,3,8,48,46,92516.1565490924,0.000518828297569079,0.00393243204668499,0.139471350359355,0.836665883285917
300,7,3,9,38,36,94831.4061762578,0.000400711130755264,0.00290634613199625,0.140547567342988,0.7816657996402
300,10,1,1,138,82,89161.4882794773,0.00154775343775597,0.00373337261666171,0.454416759107195,0.886958364212507
300,10,1,2,136,77,96106.9172155093,0.00141509065049953,0.00341853281263163,0.430440841934874,0.88032912217706
300,10,1,3,231,71,92879.7912949705,0.00248708569193898,0.00318542761779463,0.890394125023643,0.829268338905498
300,10,1,4,170,86,99269.6630909374,0.00171250707121136,0.00374565856649189,0.506367221264647,0.925357899344477
300,10,1,5,201,83,107179.675699694,0.00187535555307314,0.003423289198542,0.556162545796656,0.93434750727159
300,10,1,6,212,91,93431.4896941614,0.00226904227572482,0.0040168682723271,0.72132025927842,0.941083120057099
300,10,1,7,90,68,81998.2435756808,0.00109758448565955,0.00343929786129819,0.352247678018576,0.939587126791124
300,10,1,8,149,80,98941.3654791973,0.00150594242638917,0.00347454475829283,0.473849286500156,0.943834260431443
300,10,1,9,166,83,87710.3986191721,0.00189259201432605,0.00384181367666602,0.599496151673165,0.988385330606669
